Layer 0;Layer 1;Layer 2;Layer 3;Layer 4;Layer 5;Layer 6;Layer 7;Layer 8;Layer 9;Layer 10;Layer 11;Layer 12;Layer 13;Layer 14;Layer 15;Layer 16;Layer 17;Layer 18;Layer 19;Layer 20;Layer 21;Layer 22;Layer 23;Layer 24;Layer 25;Layer 26;Layer 27;Layer 28;Layer 29;Layer 30;Layer 31;Layer 32;Layer 33;Layer 34;Layer 35;Layer 36;Layer 37;Layer 38;Layer 39;Layer 40;Layer 41;Layer 42;Layer 43;Layer 44;has electron;has proton;has helium;has heavier ion;has bragg peak
3.76;2.67;5.63;3.76;7.02;4.36;4.36;7.75;10.93;7.02;4.98;4.98;7.75;7.02;8.51;9.29;11.78;22.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
6.31;4.98;9.29;8.51;7.02;9.29;8.51;11.78;21.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
3.76;3.2;3.76;4.36;4.36;4.36;4.98;4.36;3.76;3.76;9.29;4.98;8.51;7.75;10.1;6.31;7.02;7.02;10.93;16.36;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;1
3.2;2.67;2.67;4.36;3.76;4.36;5.63;3.2;3.76;3.76;3.2;4.36;4.36;3.2;3.76;3.2;4.36;4.36;4.98;5.63;3.76;4.98;6.31;7.02;7.02;9.29;11.78;10.93;20.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
3.2;3.2;2.67;2.67;2.67;2.67;7.75;3.2;3.2;4.98;2.67;3.2;3.2;4.36;4.36;4.36;3.76;4.98;4.98;4.36;4.36;4.98;5.63;6.31;7.75;7.02;9.29;11.78;20.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;2.67;2.67;2.67;2.67;4.98;3.2;3.2;3.2;2.67;3.76;3.2;3.76;3.2;3.76;4.98;3.76;3.76;3.76;4.36;3.76;6.31;5.63;4.98;6.31;4.36;5.63;8.51;7.02;12.65;13.55;71.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.17;2.67;3.2;2.67;2.67;7.02;2.17;2.67;2.17;3.76;2.67;3.2;3.2;2.67;3.76;3.2;4.36;4.36;3.76;3.76;4.98;5.63;4.36;4.98;4.36;10.93;4.36;4.36;4.98;4.36;6.31;7.75;7.02;10.1;20.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;3.76;2.67;2.67;2.67;5.63;2.67;2.17;3.2;4.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;1
3.76;3.76;3.2;4.36;3.76;8.51;3.2;3.76;3.76;4.98;5.63;4.36;4.98;4.98;5.63;11.78;7.02;7.75;7.02;10.1;11.78;15.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;3.2;2.17;2.67;2.67;8.51;2.67;2.67;3.2;3.76;2.67;2.67;3.76;2.67;3.2;3.2;3.76;3.2;9.29;6.31;5.63;4.98;3.76;4.36;3.76;3.76;4.98;6.31;4.36;5.63;8.51;5.63;7.75;12.65;6.31;8.51;8.51;14.47;39.36;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
2.67;3.2;3.76;2.67;3.76;5.63;3.2;4.36;3.76;3.2;4.36;12.65;4.36;4.98;3.76;3.76;4.36;3.76;4.36;4.36;4.36;4.98;2.17;1.3;1.3;1.3;1.3;1.71;2.17;2.17;3.76;18.34;1.3;0.92;1.71;1.71;0.92;1.71;1.3;0.92;0.92;1.3;1.71;0.92;1.71;0;1;1;0;1
4.36;3.2;2.17;4.98;2.67;2.67;3.2;3.2;2.67;2.67;4.36;2.67;4.36;2.67;20.39;3.2;3.2;3.2;3.2;3.2;3.2;5.63;4.36;3.76;15.4;4.98;3.2;4.36;4.36;4.98;4.98;6.31;4.98;5.63;10.93;7.02;8.51;10.93;22.52;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
16.36;3.2;3.2;3.76;4.98;3.2;3.2;2.67;4.36;4.36;3.2;5.63;3.76;4.36;4.36;7.02;5.63;7.02;3.76;4.36;7.02;4.98;6.31;4.36;7.02;11.78;5.63;5.63;8.51;7.02;10.1;11.78;22.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;1
3.2;2.67;2.67;2.67;3.76;2.67;3.2;1.71;3.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0;0
